"Source","Group","ID","PATSQL_solution","PATSQL_time"
"CUBES-spider","insurance_and_eClaims","0020","
SELECT
    max(T0.customer_details) 
FROM
    customers AS T0 
JOIN
    policies AS T1 
        ON T0.customer_id = T1.customer_id","4"
"CUBES-spider","products_for_hire","0016","No solution found","TimeOut"
"CUBES-spider","products_for_hire","0017","No solution found","TimeOut"
"CUBES-spider","products_for_hire","0014","No solution found","TimeOut"
"CUBES-spider","products_for_hire","0015","
SELECT
    min(T0.product_id) 
FROM
    products_for_hire AS T0 
JOIN
    products_booked AS T1 
        ON T0.product_id = T1.booking_id 
WHERE
    T0.product_id < 200","44"
"CUBES-spider","insurance_and_eClaims","0018","
SELECT
    claim_status_description 
FROM
    claims_processing_stages 
WHERE
    claim_status_name = 'Open'","0"
"CUBES-spider","insurance_and_eClaims","0019","
SELECT
    max(claim_stage_id) 
FROM
    claims_processing","2"
"CUBES-spider","products_for_hire","0018","
SELECT
    T0.product_name,
    T0.product_description 
FROM
    products_for_hire AS T0 
JOIN
    (
        SELECT
            max(product_description) AS max_product_description 
        FROM
            products_for_hire 
        WHERE
            product_type_code = 'Cutlery' 
            AND product_id < 20
    ) AS T1 
        ON T1.max_product_description = T0.product_description","15"
"CUBES-spider","insurance_and_eClaims","0016","
SELECT
    policy_type_code,
    count(policy_id) 
FROM
    policies 
GROUP BY
    policy_type_code 
ORDER BY
    policy_type_code ASC","2"
"CUBES-spider","insurance_and_eClaims","0017","No solution found","TimeOut"
"CUBES-spider","medicine_enzyme_interaction","0019","No solution found","TimeOut"
"CUBES-spider","insurance_and_eClaims","0014","
SELECT
    T0.customer_details 
FROM
    customers AS T0 
LEFT JOIN
    policies AS T1 
        ON T0.customer_id = T1.customer_id 
WHERE
    T1.policy_type_code = 'Deputy' 
    AND T1.policy_type_code <> 'Uniform'","10"
"CUBES-spider","insurance_and_eClaims","0015","No solution found","TimeOut"
"CUBES-spider","hospital_1","0050","
SELECT
    T0.name 
FROM
    nurse AS T0 
LEFT JOIN
    on_call AS T1 
        ON T0.employeeid = T1.blockfloor 
ORDER BY
    T0.name ASC","0"
"CUBES-spider","medicine_enzyme_interaction","0017","
SELECT
    max(T0.name),
    max(T0.location),
    max(T0.product) 
FROM
    enzyme AS T0 
JOIN
    medicine_enzyme_interaction AS T1 
        ON T0.id = T1.enzyme_id 
WHERE
    T1.interaction_type = 'inhibitor' 
GROUP BY
    T0.id 
ORDER BY
    max(T0.location) DESC","74"
"CUBES-spider","insurance_and_eClaims","0012","No solution found","TimeOut"
"CUBES-spider","medicine_enzyme_interaction","0018","
SELECT
    max(T0.name),
    max(T0.trade_name) 
FROM
    medicine AS T0 
JOIN
    medicine_enzyme_interaction AS T1 
        ON T0.id = T1.medicine_id 
GROUP BY
    T0.id 
HAVING
    max(T1.interaction_type) = 'inhibitor' 
    AND min(T1.interaction_type) = 'activitor' 
ORDER BY
    max(T0.name) ASC","TimeOut"
"CUBES-spider","insurance_and_eClaims","0013","
SELECT
    T0.customer_details 
FROM
    customers AS T0 
JOIN
    policies AS T1 
        ON T0.customer_id = T1.customer_id 
WHERE
    T1.policy_type_code = 'Deputy'","1"
"CUBES-spider","insurance_and_eClaims","0010","
SELECT
    count(claim_stage_id) 
FROM
    claims_processing_stages","0"
"CUBES-spider","insurance_and_eClaims","0011","
SELECT
    T0.claim_status_name 
FROM
    claims_processing_stages AS T0 
LEFT JOIN
    claims_processing AS T1 
        ON T0.claim_stage_id = T1.claim_processing_id 
WHERE
    T0.claim_stage_id = 1","5"
"CUBES-spider","medicine_enzyme_interaction","0011","No solution found","TimeOut"
"CUBES-spider","medicine_enzyme_interaction","0012","
SELECT
    T2.interaction_type 
FROM
    medicine AS T0 
JOIN
    enzyme AS T1 
        ON T0.id = T1.id 
JOIN
    medicine_enzyme_interaction AS T2 
        ON T0.id = T2.medicine_id 
WHERE
    T1.name = 'ALA synthase' 
    AND T0.name <> 'Aripiprazole'","11"
"CUBES-spider","medicine_enzyme_interaction","0010","
SELECT
    T0.id,
    max(T0.name),
    max(T0.fda_approved) 
FROM
    medicine AS T0 
JOIN
    medicine_enzyme_interaction AS T1 
        ON T0.id = T1.medicine_id 
GROUP BY
    T0.id","28"
"CUBES-spider","medicine_enzyme_interaction","0015","
SELECT
    count(DISTINCT T0.location) 
FROM
    enzyme AS T0 
JOIN
    medicine_enzyme_interaction AS T1 
        ON T0.id = T1.enzyme_id","20"
"CUBES-spider","medicine_enzyme_interaction","0016","
SELECT
    T0.id,
    T0.trade_name 
FROM
    medicine AS T0 
JOIN
    medicine_enzyme_interaction AS T1 
        ON T0.id = T1.medicine_id 
WHERE
    T0.id <= 3 
    AND T1.enzyme_id >= 3 
ORDER BY
    T0.id ASC","12"
"CUBES-spider","medicine_enzyme_interaction","0013","
SELECT
    max(interaction_type),
    count(DISTINCT medicine_id) 
FROM
    medicine_enzyme_interaction 
WHERE
    enzyme_id > 1","2"
